Referência;Produto;Atributos;Categorias;Qtde Vendida;Custo do Produto;;;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;43/44/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;37/38/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10054;Sandália Traíra;39/40/Único;Sandálias;2;14.39;;;;;;;;;;;;;;;;;;;;
10054;Sandália Traíra;41/42/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10054;Sandália Traíra;Único/37/38;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10230;Camiseta Tucunaré Tribal;M/Único;Camisetas;3;21.97;;;;;;;;;;;;;;;;;;;;
10230;Camiseta Tucunaré Tribal;GG/Único;Camisetas;1;21.97;;;;;;;;;;;;;;;;;;;;
10421;Camiseta Rei do Rio;Único/M;Camisetas;2;25.00;;;;;;;;;;;;;;;;;;;;
10421;Camiseta Rei do Rio;Único/G;Camisetas;2;25.00;;;;;;;;;;;;;;;;;;;;
10538;Boné Clássico Dourado;Único/Único;Lançamentos, Bonés;4;24.70;;;;;;;;;;;;;;;;;;;;
10546;Boné Robalo Maori;Único/Único;Lançamentos, Bonés;4;25.51;;;;;;;;;;;;;;;;;;;;
10549;Boné Pescar e Soltar;Único/Único;Lançamentos, Bonés;4;24.20;;;;;;;;;;;;;;;;;;;;
10161;Boné For Fisher;Único/Único;Bonés;4;13.19;;;;;;;;;;;;;;;;;;;;
10580;Caneca Cardume Fish TV;Único/Único;Lançamentos, Utilitários > Canecas;3;10.87;;;;;;;;;;;;;;;;;;;;
10061;Pulseira Tucunaré Emborrachada;Único/Único;Acessórios > Pulseiras;3;6.11;;;;;;;;;;;;;;;;;;;;
10189;Pulseira Macramê Dourado Café;Único/Único;Acessórios > Pulseiras;3;11,41;;;;;;;;;;;;;;;;;;;;
10586;Colar Anzol For Fisher;Único/Único;Lançamentos, Acessórios > Colares;3;4,61;;;;;;;;;;;;;;;;;;;;
10576;Caneca Salto do Dourado;Único/Único;Lançamentos, Utilitários > Canecas;3;10,87;;;;;;;;;;;;;;;;;;;;
10579;Caneca Pampo Maori;Único/Único;Lançamentos, Utilitários > Canecas;3;10,87;;;;;;;;;;;;;;;;;;;;
10484;Camiseta Baby Look Cardume Fish TV;Único/M;Lançamentos, Camisetas, Fish TV;2;23,11;;;;;;;;;;;;;;;;;;;;
10484;Camiseta Baby Look Cardume Fish TV;Único/G;Lançamentos, Camisetas, Fish TV;1;23,11;;;;;;;;;;;;;;;;;;;;
10488;Camiseta Pampo Maori - Branca;Único/G;Lançamentos, Camisetas;3;23,11;;;;;;;;;;;;;;;;;;;;
10485;Camiseta Hei Matau Maori - Branca;Único/XGG;Lançamentos, Camisetas;2;23,11;;;;;;;;;;;;;;;;;;;;
10485;Camiseta Hei Matau Maori - Branca;Único/XG;Lançamentos, Camisetas;1;23,11;;;;;;;;;;;;;;;;;;;;
10499;Camiseta Tamba Fisher;Único/G;Lançamentos, Camisetas;2;26,02;;;;;;;;;;;;;;;;;;;;
10499;Camiseta Tamba Fisher;Único/XG;Lançamentos, Camisetas;1;26,02;;;;;;;;;;;;;;;;;;;;
10053;Sandália Tambaqui;41/42/Único;Sandálias;3;14,39;;;;;;;;;;;;;;;;;;;;
10501;Camiseta Tambaqui Aquarela - Preta;Único/XG;Lançamentos, Camisetas;2;26,02;;;;;;;;;;;;;;;;;;;;
10501;Camiseta Tambaqui Aquarela - Preta;Único/G;Lançamentos, Camisetas;1;26,02;;;;;;;;;;;;;;;;;;;;
10231;Camiseta Traíra Tribal;G/Único;Camisetas;2;21,97;;;;;;;;;;;;;;;;;;;;
10231;Camiseta Traíra Tribal;GG/Único;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10132;Camiseta Baby Look Tribalnaré For Fisher;G/Único;Camisetas;3;21,97;;;;;;;;;;;;;;;;;;;;
10547;Boné For Fisher Aba Reta;Único/Único;Lançamentos, Bonés;3;26,52;;;;;;;;;;;;;;;;;;;;
10487;Camiseta Baby Look Hei Matau Maori - Preta;Único/M;Lançamentos, Camisetas;2;23,11;;;;;;;;;;;;;;;;;;;;
10487;Camiseta Baby Look Hei Matau Maori - Preta;Único/P;Lançamentos, Camisetas;1;23,11;;;;;;;;;;;;;;;;;;;;
10030;Pulseira Dourado Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;;;;;;;;;;;;;;;;;;;;
10573;Chaveiro Pesque e Solte;Único/Único;Lançamentos, Utilitários > Chaveiros;2;4,52;;;;;;;;;;;;;;;;;;;;
10486;Camiseta Hei Matau Maori - Preta;Único/GG;Lançamentos, Camisetas;1;23,11;;;;;;;;;;;;;;;;;;;;
10486;Camiseta Hei Matau Maori - Preta;Único/XG;Lançamentos, Camisetas;1;23,11;;;;;;;;;;;;;;;;;;;;
10191;Pulseira Macramê Traíra Café;Único/Único;Acessórios > Pulseiras;2;11,41;;;;;;;;;;;;;;;;;;;;
10035;Pulseira Tucunaré Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;;;;;;;;;;;;;;;;;;;;
10587;Colar Hei Matau Metal;Único/Único;Lançamentos, Acessórios > Colares;2;4,61;;;;;;;;;;;;;;;;;;;;
10056;Pulseira Dourado Emborrachada;Único/Único;Acessórios > Pulseiras;2;6,11;;;;;;;;;;;;;;;;;;;;
10059;Pulseira Tambaqui Emborrachada;Único/Único;Acessórios > Pulseiras;2;6,11;;;;;;;;;;;;;;;;;;;;
10577;Caneca Salto do Tucunaré;Único/Único;Lançamentos, Utilitários > Canecas;2;10,87;;;;;;;;;;;;;;;;;;;;
10034;Pulseira Traíra Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;;;;;;;;;;;;;;;;;;;;
10429;Camiseta Salto do Dourado;Único/G;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10429;Camiseta Salto do Dourado;Único/GG;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10441;Camiseta Estrelas Fish TV;Único/M;Fish TV;1;110,66;;;;;;;;;;;;;;;;;;;;
10441;Camiseta Estrelas Fish TV;Único/GG;Fish TV;1;110,66;;;;;;;;;;;;;;;;;;;;
10128;Camiseta Técnicas For Fisher;M/Único;Camisetas;1;21,47;;;;;;;;;;;;;;;;;;;;
10128;Camiseta Técnicas For Fisher;GG/Único;Camisetas;1;21,47;;;;;;;;;;;;;;;;;;;;
10338;Boné Fish TV;Único/Único;Bonés, Fish TV;2;10,47;;;;;;;;;;;;;;;;;;;;
10545;Boné Pampo Maori;Único/Único;Lançamentos, Bonés;2;25,81;;;;;;;;;;;;;;;;;;;;
10222;Sandália Tucunaré Tribal;41/42/Único;Sandálias;1;14,39;;;;;;;;;;;;;;;;;;;;
10222;Sandália Tucunaré Tribal;43/44/Único;Sandálias;1;14,39;;;;;;;;;;;;;;;;;;;;
10498;Camiseta Baby Look Robalo Maori;Único/P;Lançamentos, Camisetas;1;23,11;;;;;;;;;;;;;;;;;;;;
10498;Camiseta Baby Look Robalo Maori;Único/M;Lançamentos, Camisetas;1;23,11;;;;;;;;;;;;;;;;;;;;
10431;Camiseta Salto do Robalo;Único/P;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10431;Camiseta Salto do Robalo;Único/G;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10432;Camiseta Salto da Cachorra;Único/M;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10432;Camiseta Salto da Cachorra;Único/XG;Camisetas;1;21,97;;;;;;;;;;;;;;;;;;;;
10244;"Camiseta ""Pesco, Logo Existo""";G/Único;Camisetas;1;20,96;;;;;;;;;;;;;;;;;;;;
10244;"Camiseta ""Pesco, Logo Existo""";XG/Único;Camisetas;1;20,96;;;;;;;;;;;;;;;;;;;;
10251;Camiseta For Fisher;GG/Único;Camisetas;1;20,96;;;;;;;;;;;;;;;;;;;;
10251;Camiseta For Fisher;XG/Único;Camisetas;1;20,96;;;;;;;;;;;;;;;;;;;;
