Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
22:00:00 - 22:15:00;0,04;0,02;0,02;0,03;0,03;0,04;0,02;0,01;0,01;0,02;0,00;0,00;0,00;0,04;0,02
22:15:00 - 22:30:00;0,04;0,02;0,02;0,03;0,03;0,04;0,02;0,01;0,01;0,03;0,00;0,00;0,00;0,03;0,02
22:30:00 - 22:45:00;0,04;0,02;0,02;0,02;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,00;0,01;0,03;0,02
22:45:00 - 23:00:00;0,03;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,02;0,01;0,00;0,01;0,02;0,01
23:00:00 - 23:15:00;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,00;0,01;0,01;0,00;0,01;0,02;0,00
23:15:00 - 23:30:00;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,00;0,01;0,01;0,00;0,00;0,02;0,00
23:30:00 - 23:45:00;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,00;0,01;0,00;0,00;0,01;0,02;0,00
23:45:00 - 24:00:00;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,00;0,01;0,01;0,02;0,01
24:00:00 - 24:15:00;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,01;0,01;0,02;0,01
24:15:00 - 24:30:00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,01;0,00;0,01;0,01;0,01;0,00
24:30:00 - 24:45:00;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00
24:45:00 - 25:00:00;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25:00:00 - 25:15:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25:15:00 - 25:30:00;0,01;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25:30:00 - 25:45:00;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00
25:45:00 - 26:00:00;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00
26:00:00 - 26:15:00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00
26:15:00 - 26:30:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
26:30:00 - 26:45:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
26:45:00 - 27:00:00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
27:00:00 - 27:15:00;0,01;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
27:15:00 - 27:30:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
27:30:00 - 27:45:00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
27:45:00 - 28:00:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28:00:00 - 28:15:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28:15:00 - 28:30:00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28:30:00 - 28:45:00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28:45:00 - 29:00:00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
29:00:00 - 29:15:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
29:15:00 - 29:30:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
29:30:00 - 29:45:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
29:45:00 - 30:00:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06:00:00 - 30:00:00;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,00;0,01;0,01;0,00;0,00;0,00;0,01;0,01
;;;;;;;;;;;;;;;
