Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
22:15:00 - 22:30:00;230,9569;270,6752;67,4753;122,8044;58,2934;113,6225;145,3328;125,3424;127,7316;120,2169;6,4087;7,878;36,2961;71,6019;148,4905
22:30:00 - 22:45:00;192,7216;261,1373;79,7078;122,4432;74,4395;114,4842;136,4157;124,7216;137,5311;106,6338;8,1157;3,1818;28,1679;87,0432;134,6287
22:45:00 - 23:00:00;136,8476;175,6612;58,9065;107,6284;46,8692;92,9004;116,1637;59,4975;80,6225;76,125;4,2556;6,1687;29,394;60,1335;75,7094
23:00:00 - 23:15:00;113,2175;152,9737;25,7909;70,6866;25,7909;67,8273;85,3141;67,6596;41,636;90,0014;17,6088;3,0903;32,7571;67,8355;31,682
23:15:00 - 23:30:00;116,3092;133,9362;44,3573;72,5229;44,3573;68,0547;82,0501;51,8861;74,7013;49,7625;7,7114;3,0979;17,2448;40,8865;64,9956
23:30:00 - 23:45:00;146,1361;187,5856;40,2291;86,4149;40,2291;75,2566;111,9931;75,5924;101,1086;77,3885;11,5714;12,4552;36,9232;46,0939;80,5419
23:45:00 - 24:00:00;134,5523;182,9814;21,7601;56,7718;21,7601;56,7718;73,3959;109,5855;95,1298;63,2948;0;9,3573;20,9664;53,3579;99,2998
24:00:00 - 24:15:00;120,0188;189,1689;39,7501;68,2085;32,9811;61,4394;93,0752;96,0936;118,5564;51,1119;6,6529;10,5083;39,7142;46,7484;85,5451
24:15:00 - 24:30:00;68,798;109,3363;26,1431;50,9582;26,1431;47,3893;67,4727;41,8636;63,9401;32,9879;12,4188;11,9331;24,1054;41,3434;19,5357
24:30:00 - 24:45:00;63,848;90,8867;29,1588;44,8937;25,2452;37,4112;56,6313;34,2554;61,9827;28,904;3,5648;12,7185;23,7023;30,6877;20,2132
24:45:00 - 25:00:00;59,2046;91,8618;41,5821;55,9033;37,1236;51,4448;66,1833;25,6785;66,6018;12,8517;4,2556;9,3573;17,8297;28,6109;31,8084
25:00:00 - 25:15:00;25,4508;35,0399;10,7631;17,2569;10,7631;17,2569;20,474;14,5659;24,7308;10,3092;0;3,7359;4,8712;10,3092;16,1236
25:15:00 - 25:30:00;48,3468;57,2032;13,5705;36,3509;9,6569;28,8684;44,7521;12,451;23,3169;25,485;0;0;12,0063;18,6039;26,5929
25:30:00 - 25:45:00;73,361;83,3268;24,729;38,211;24,729;34,6421;49,8532;29,4385;62,1962;13,482;0;3,9693;15,3964;32,1892;31,7719
25:45:00 - 26:00:00;52,9631;55,0565;13,2582;19,8705;13,2582;19,8705;27,1742;23,8472;40,153;14,9035;0;3,9693;15,5948;19,9964;15,496
26:00:00 - 26:15:00;61,0789;58,2487;13,873;17,2924;12,1726;15,592;22,9271;35,3216;40,5182;12,4911;0;5,2611;12,6479;15,6371;24,7027
26:15:00 - 26:30:00;21,9536;19,05;10,6179;10,6179;10,6179;10,6179;11,9097;7,1403;19,05;0;0;1,2917;0;17,7582;0
26:30:00 - 26:45:00;34,5286;41,1306;14,5308;31,252;14,5308;27,1875;32,5438;8,5868;20,2881;20,8425;0;1,2917;8,53;18,1363;13,1725
26:45:00 - 27:00:00;29,5834;33,5776;11,225;25,5384;11,225;21,4739;29,7622;3,8154;15,4487;18,1289;0;4,2238;4,0645;25,2893;0
27:00:00 - 27:15:00;31,8719;34,9888;16,5413;25,7603;16,5413;25,7603;27,052;7,9368;17,833;17,1558;0;1,2917;0;23,615;10,082
27:15:00 - 27:30:00;22,3149;33,0137;5,3633;15,2031;5,3633;15,2031;15,2031;17,8106;5,3633;27,6504;5,5109;0;5,377;15,7543;6,3716
27:30:00 - 27:45:00;15,8631;16,6567;5,3633;12,8413;5,3633;12,8413;12,8413;3,8154;5,3633;11,2934;0;0;0;12,6469;4,0098
27:45:00 - 28:00:00;6,8215;6,026;0;6,026;0;6,026;6,026;0;0;6,026;0;0;0;3,4682;2,5578
28:00:00 - 28:15:00;17,5831;19,6609;11,2614;13,8191;5,3633;7,9211;13,8191;5,8418;11,2614;8,3996;0;0;5,8981;5,3633;8,3996
28:15:00 - 28:30:00;23,5422;23,3805;11,2614;17,4246;5,3633;11,5266;23,3805;0;11,2614;12,1191;0;2,9127;8,9413;8,9688;2,5578
28:30:00 - 28:45:00;19,6671;23,4633;16,1004;16,1004;5,3633;5,3633;16,1004;7,3628;23,4633;0;0;0;16,6798;6,7835;0
28:45:00 - 29:00:00;25,0331;27,3878;15,1209;17,0082;9,2228;11,1102;17,0082;10,3796;23,5493;3,8386;0;0;5,8981;6,7835;14,7063
29:00:00 - 29:15:00;17,7598;20,3932;5,3633;9,1362;5,3633;9,1362;11,8193;8,5739;5,3633;6,456;2,6831;0;8,5739;5,3633;3,7729
29:15:00 - 29:30:00;19,6148;22,0304;5,3633;11,694;5,3633;11,694;11,694;10,3364;7,1258;6,3307;0;0;8,5739;5,3633;8,0931
29:30:00 - 29:45:00;24,449;25,9449;13,479;16,0367;13,479;16,0367;17,7123;8,2325;21,7115;2,5578;0;0;0;7,0389;18,906
29:45:00 - 30:00:00;11,0237;11,8412;5,3633;8,093;5,3633;8,093;8,093;3,7482;5,3633;6,4779;0;0;0;5,3633;6,4779
06:00:00 - 30:00:00;2617,7619;3757,1127;924,0817;1539,5879;837,6754;1353,4101;2018,7284;1734,3492;1999,1156;1456,6264;222,2469;169,441;604,0491;911,3972;1849,9786
;;;;;;;;;;;;;;;
