Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
20:30:00 - 20:45:00;1,68;0,77;1,28;1,41;1,57;1,81;1,05;0,52;0,67;0,78;0,19;0,36;0,20;0,94;1,45
20:45:00 - 21:00:00;1,63;0,69;0,89;1,00;1,06;1,22;0,87;0,54;0,64;0,79;0,54;0,43;0,25;0,83;1,09
21:00:00 - 21:15:00;1,64;0,78;1,10;1,29;1,31;1,47;0,97;0,60;0,63;0,85;0,24;0,14;0,41;1,07;1,22
21:15:00 - 21:30:00;1,93;0,78;0,95;1,27;1,13;1,46;0,90;0,68;0,76;0,91;0,23;0,14;0,32;1,12;1,28
21:30:00 - 21:45:00;2,00;0,95;1,58;1,60;1,85;1,99;1,20;0,73;0,92;0,97;0,44;0,42;0,39;1,06;1,67
21:45:00 - 22:00:00;1,70;0,83;1,44;1,50;1,64;1,74;1,06;0,62;0,82;0,89;0,27;0,14;0,36;1,18;1,34
22:00:00 - 22:15:00;2,00;0,87;1,58;1,59;1,93;1,99;1,08;0,67;0,92;0,90;0,13;0,00;0,29;1,21;1,57
22:15:00 - 22:30:00;2,16;0,87;1,22;1,31;1,37;1,60;0,98;0,77;0,78;0,96;0,22;0,30;0,43;0,96;1,55
22:30:00 - 22:45:00;1,80;0,84;1,44;1,30;1,75;1,61;0,92;0,77;0,84;0,86;0,28;0,12;0,33;1,17;1,40
22:45:00 - 23:00:00;1,28;0,57;1,06;1,15;1,10;1,31;0,78;0,37;0,49;0,61;0,14;0,23;0,35;0,81;0,79
23:00:00 - 23:15:00;1,06;0,49;0,47;0,75;0,61;0,96;0,58;0,42;0,25;0,72;0,60;0,12;0,39;0,91;0,33
23:15:00 - 23:30:00;1,09;0,43;0,80;0,77;1,04;0,96;0,55;0,32;0,46;0,40;0,26;0,12;0,20;0,55;0,68
23:30:00 - 23:45:00;1,37;0,60;0,73;0,92;0,94;1,06;0,76;0,46;0,62;0,62;0,39;0,47;0,44;0,62;0,84
23:45:00 - 24:00:00;1,26;0,59;0,39;0,60;0,51;0,80;0,50;0,67;0,58;0,51;0,00;0,35;0,25;0,72;1,04
