ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5603;14/04/2018 16:41;ENTREGUE;MOIP CC 6x;Mobile;6;R$ 424,40;R$ 0,00;R$ 21,78;R$ 446,18
5602;14/04/2018 16:29;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 24,47;R$ 94,37
5601;14/04/2018 16:28;ENTREGUE;MOIP CC 6x;Desktop;3;R$ 187,70;R$ 0,00;R$ 20,82;R$ 208,52
5600;14/04/2018 15:51;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 159,80;R$ 0,00;R$ 23,21;R$ 183,01
5599;14/04/2018 09:57;ENTREGUE;MOIP Boleto;Mobile;3;R$ 179,70;R$ 0,00;R$ 24,47;R$ 204,17
5597;13/04/2018 22:37;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 87,90;R$ 0,00;R$ 23,21;R$ 111,11
5596;13/04/2018 18:47;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 79,80;R$ 0,00;R$ 23,21;R$ 103,01
5595;13/04/2018 18:33;DESPACHADO;MOIP CC 1x;Mobile;1;R$ 79,90;R$ 0,00;R$ 10,46;R$ 90,36
5594;13/04/2018 15:32;ENTREGUE;MOIP CC 3x;Desktop;3;R$ 229,70;R$ 0,00;R$ 24,47;R$ 254,17
5593;13/04/2018 14:27;APROVADO CRÉDITO;MOIP CC 1x;Desktop;3;R$ 239,70;R$ 0,00;R$ 21,00;R$ 260,70
5592;13/04/2018 14:15;ENTREGUE;MOIP CC 2x;Mobile;2;R$ 159,80;R$ 0,00;R$ 23,21;R$ 183,01
5590;13/04/2018 12:23;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 20,82;R$ 90,72
5587;12/04/2018 21:36;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 49,90;R$ 0,00;R$ 23,21;R$ 73,11
5585;12/04/2018 20:38;ENTREGUE;MOIP CC 6x;Mobile;4;R$ 309,60;R$ 0,00;R$ 0,00;R$ 309,60
5584;12/04/2018 20:37;ENTREGUE;MOIP CC 2x;Desktop;3;R$ 237,70;R$ 0,00;R$ 26,99;R$ 264,69
5583;12/04/2018 20:26;ENTREGUE;MOIP CC 3x;Mobile;4;R$ 317,60;R$ 0,00;R$ 0,00;R$ 317,60
5582;12/04/2018 20:14;ENTREGUE;MOIP CC 6x;Desktop;8;R$ 637,20;R$ 0,00;R$ 0,00;R$ 637,20
5581;12/04/2018 16:10;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5580;12/04/2018 13:26;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 39,90;R$ 0,00;R$ 24,47;R$ 64,37
5579;12/04/2018 11:15;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5577;11/04/2018 19:14;ENTREGUE;MOIP CC 4x;Desktop;2;R$ 167,80;R$ 0,00;R$ 23,21;R$ 191,01
5575;11/04/2018 16:40;ENTREGUE;MOIP Boleto;Desktop;2;R$ 159,80;R$ 0,00;R$ 19,11;R$ 178,91
5574;11/04/2018 13:33;APROVADO CRÉDITO;MOIP Boleto;Desktop;2;R$ 89,80;R$ 89,80;R$ 0,00;R$ 0,00
5573;11/04/2018 12:03;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5572;11/04/2018 11:14;DESPACHADO;MOIP CC 6x;Desktop;1;R$ 69,90;R$ 0,00;R$ 10,46;R$ 80,36
5571;10/04/2018 23:25;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 10,46;R$ 80,36
5570;10/04/2018 22:48;ENTREGUE;MOIP CC 4x;Desktop;2;R$ 119,80;R$ 0,00;R$ 25,72;R$ 145,52
5569;10/04/2018 22:03;ENTREGUE;MOIP CC 3x;Desktop;3;R$ 217,70;R$ 0,00;R$ 38,23;R$ 255,93
5568;10/04/2018 20:43;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
5566;10/04/2018 16:22;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 139,80;R$ 0,00;R$ 21,00;R$ 160,80
5565;10/04/2018 15:15;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 119,80;R$ 0,00;R$ 23,21;R$ 143,01
5564;10/04/2018 15:12;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 30,08;R$ 109,98
