Referência;Produto;Atributos;Categorias;Qtde Vendida;Cor;Tamanho;Tipo de Produto;Espécies;Modalidade
10337;Boné Momento da Pesca;Único/Único;Bonés, Fish TV;7;Vermelho;Único;Boné;Momento da Pesca;Todos 
10496;Camiseta Pescar e Soltar;Único/XGG;Lançamentos, Camisetas;3;Verde Pinheiro;XGG;Camiseta;Pescar e soltar;Todos 
10496;Camiseta Pescar e Soltar;Único/M;Lançamentos, Camisetas;1;Verde Pinheiro;M;Camiseta;Pescar e soltar;Todos 
10496;Camiseta Pescar e Soltar;Único/G;Lançamentos, Camisetas;1;Verde Pinheiro;G;Camiseta;Pescar e soltar;Todos 
10496;Camiseta Pescar e Soltar;Único/GG;Lançamentos, Camisetas;1;Verde Pinheiro;GG;Camiseta;Pescar e soltar;Todos 
10161;Boné For Fisher;Único/Único;Bonés;5;Azul Marinho;Único;Boné;For Fisher;Todos 
10490;Camiseta Peixe Grande Toma Linha;Único/G;Lançamentos, Camisetas;3;Preta;G;Camiseta;Peixe Grande toma Linha;Todos 
10490;Camiseta Peixe Grande Toma Linha;Único/M;Lançamentos, Camisetas;1;Preta;M;Camiseta;Peixe Grande toma Linha;Todos 
10490;Camiseta Peixe Grande Toma Linha;Único/XGG;Lançamentos, Camisetas;1;Preta;XGG;Camiseta;Peixe Grande toma Linha;Todos 
10542;Boné Escama Tambaqui;Único/Único;Lançamentos, Bonés;4;Preta;Único;Boné;Tambaqui;Pesqueiro
10034;Pulseira Traíra Pingente;Único/Único;Acessórios > Pulseiras;4;Marrom;Único;Pulseira;Traira;Bait 
10588;Colar Isca Stick;Único/Único;Lançamentos, Acessórios > Colares;4;Grafite;Único;Colar;Isca;Bait 
10547;Boné For Fisher Aba Reta;Único/Único;Lançamentos, Bonés;4;Preta;Único;Boné;For Fisher;Todos 
10539;Boné Escama Dourado;Único/Único;Lançamentos, Bonés;4;Preta;Único;Boné;Dourado;Bait 
10483;Camiseta Cardume Fish TV;Único/M;Lançamentos, Camisetas, Fish TV;2;Azul Royal;M;Camiseta;Cardume Fish TV;Todos 
10483;Camiseta Cardume Fish TV;Único/G;Lançamentos, Camisetas, Fish TV;1;Azul Royal;G;Camiseta;Cardume Fish TV;Todos 
10483;Camiseta Cardume Fish TV;Único/GG;Lançamentos, Camisetas, Fish TV;1;Azul Royal;GG;Camiseta;Cardume Fish TV;Todos 
10422;Camiseta Embaixador da Pesca;Único/M;Camisetas;2;Preta;M;Camiseta;Embaixador da Pesca;Bait 
10422;Camiseta Embaixador da Pesca;Único/P;Camisetas;1;Preta;P;Camiseta;Embaixador da Pesca;Bait 
10422;Camiseta Embaixador da Pesca;Único/G;Camisetas;1;Preta;G;Camiseta;Embaixador da Pesca;Bait 
10499;Camiseta Tamba Fisher;Único/M;Lançamentos, Camisetas;2;Preta;M;Camiseta;Tamba;Pesqueiro
10499;Camiseta Tamba Fisher;Único/G;Lançamentos, Camisetas;1;Preta;G;Camiseta;Tamba;Pesqueiro
10499;Camiseta Tamba Fisher;Único/XGG;Lançamentos, Camisetas;1;Preta;XGG;Camiseta;Tamba;Pesqueiro
10485;Camiseta Hei Matau Maori - Branca;Único/M;Lançamentos, Camisetas;3;Branca;M;Camiseta;Hei Matau;Todos 
10485;Camiseta Hei Matau Maori - Branca;Único/G;Lançamentos, Camisetas;1;Branca;G;Camiseta;Hei Matau ;Todos 
10587;Colar Hei Matau Metal;Único/Único;Lançamentos, Acessórios > Colares;3;Grafite;Único;Colar;Hei Matau;Todos 
10030;Pulseira Dourado Pingente;Único/Único;Acessórios > Pulseiras;3;Marrom;Único;Pulseira;Pesque e Solte;Bait 
10572;Abridor Pesque e Solte;Único/Único;Lançamentos, Utilitários > Abridores;3;Grafite;Único;Abridor;For Fisher;Bait 
10189;Pulseira Macramê Dourado Café;Único/Único;Acessórios > Pulseiras;3;Café;Único;Pulseira;Dourado;Bait 
10128;Camiseta Técnicas For Fisher;M/Único;Camisetas;2;Preta;M;Camiseta;For Fisher;Todos 
10128;Camiseta Técnicas For Fisher;GG/Único;Camisetas;1;Preta;GG;Camiseta;For Fisher;Todos 
10501;Camiseta Tambaqui Aquarela - Preta;Único/GG;Lançamentos, Camisetas;2;Preta;GG;Camiseta;Tambaqui;Pesqueiro
10501;Camiseta Tambaqui Aquarela - Preta;Único/P;Lançamentos, Camisetas;1;Preta;P;Camiseta;Tambaqui;Pesqueiro
10500;Camiseta Tambaqui Aquarela - Branca;Único/G;Lançamentos, Camisetas;2;Branca;G;Camiseta;Tambaqui;Pesqueiro
10500;Camiseta Tambaqui Aquarela - Branca;Único/XGG;Lançamentos, Camisetas;1;Branca;XGG;Camiseta;Tambaqui;Pesqueiro
10497;Camiseta Robalo Maori;Único/G;Lançamentos, Camisetas;2;Branca;G;Camiseta;Robalo;Oceânica
10497;Camiseta Robalo Maori;Único/M;Lançamentos, Camisetas;1;Branca;M;Camiseta;Robalo;Oceânica
10431;Camiseta Salto do Robalo;Único/M;Camisetas;1;Cinza Escuro;M;Camiseta;Robalo;Oceânica
