Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;INT1;INTE2;INTE3;INTE4;;Total_Domicilio;;INT1;INTE2;INTE3;INTE4;;Total_Individuos;
13/05/2018  07:00:00 ;;07:00:00 - 07:15:00;07:15:00 - 07:30:00;;;;Fishing Guide;;Esportiva pesca na Argentina;;2;;12;;00:01:00;00:07:00;;;;00:08:00;;00:01:00;00:07:00;;;;00:08:00;
13/05/2018  07:30:00 ;;07:30:00 - 07:45:00;07:45:00 - 08:00:00;;;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
13/05/2018  08:00:00 ;;08:00:00 - 08:15:00;08:15:00 - 08:30:00;08:30:00 - 08:45:00;08:45:00 - 09:00:00;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;00:05:32;00:15:00;00:15:00;00:07:56;;00:43:28;;00:05:21;00:15:00;00:15:00;00:00:00;;00:35:21;
13/05/2018  09:00:00 ;;09:00:00 - 09:15:00;09:15:00 - 09:30:00;;;;FishTV Teste;;Linha Seaguar Smackdown e molinete Saint Plus Urano 5000;;4;;13;;00:15:00;00:15:00;;;;00:30:00;;00:15:00;00:15:00;;;;00:30:00;
13/05/2018  09:30:00 ;;09:30:00 - 09:45:00;09:45:00 - 10:00:00;10:00:00 - 10:15:00;10:15:00 - 10:30:00;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;00:12:00;00:15:00;00:03:44;00:01:00;;00:31:44;;00:11:04;00:15:00;00:03:03;00:00:00;;00:29:07;
13/05/2018  10:30:00 ;;10:30:00 - 10:45:00;10:45:00 - 11:00:00;;;;Biopesca;;Peixes variados em Juruena;;5;;8;;00:05:00;00:00:00;;;;00:05:00;;00:05:00;00:00:00;;;;00:05:00;
13/05/2018  11:00:00 ;;11:00:00 - 11:15:00;11:15:00 - 11:30:00;;;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;00:05:00;00:04:07;;;;00:09:07;;00:05:00;00:03:28;;;;00:08:28;
13/05/2018  11:30:00 ;;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;00:02:00;00:05:23;;;;00:07:23;;00:02:00;00:05:32;;;;00:07:32;
13/05/2018  12:00:00 ;;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;00:01:57;00:01:00;;;;00:02:57;;00:01:56;00:01:00;;;;00:02:56;
13/05/2018  12:30:00 ;;12:30:00 - 12:45:00;12:45:00 - 13:00:00;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;00:01:57;00:00:00;00:02:28;00:08:32;;00:12:57;;00:02:04;00:00:00;00:02:30;00:04:00;;00:08:34;
13/05/2018  13:30:00 ;;13:30:00 - 13:45:00;13:45:00 - 14:00:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;00:10:24;00:11:32;;;;00:21:56;;00:10:22;00:11:41;;;;00:22:03;
13/05/2018  14:00:00 ;;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;00:10:13;00:15:00;00:08:46;00:03:20;;00:37:19;;00:10:32;00:15:00;00:09:24;00:01:36;;00:36:32;
13/05/2018  15:00:00 ;;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;00:00:00;00:02:00;;;;00:02:00;;00:00:00;00:02:00;;;;00:02:00;
13/05/2018  15:30:00 ;;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;00:05:12;00:04:54;;;;00:10:06;;00:05:31;00:04:57;;;;00:10:28;
13/05/2018  16:00:00 ;;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;00:10:09;00:15:00;;;;00:25:09;;00:09:44;00:15:00;;;;00:24:44;
13/05/2018  16:30:00 ;;16:30:00 - 16:45:00;16:45:00 - 17:00:00;17:00:00 - 17:15:00;17:15:00 - 17:30:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 1º parte;;1;;13;;00:06:56;00:08:42;00:07:11;00:06:07;;00:28:56;;00:06:38;00:07:13;00:07:05;00:02:00;;00:22:56;
13/05/2018  17:30:00 ;;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 2;;5;;4;;00:03:49;00:03:26;;;;00:07:15;;00:03:42;00:03:24;;;;00:07:06;
13/05/2018  18:00:00 ;;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;00:08:21;00:04:28;;;;00:12:49;;00:08:00;00:04:26;;;;00:12:26;
13/05/2018  18:30:00 ;;18:30:00 - 18:45:00;18:45:00 - 19:00:00;;;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;00:10:00;00:01:00;;;;00:11:00;;00:10:00;00:01:00;;;;00:11:00;
