Horário Início;;Programa;;Episódio;;Temporada;;N. Episódio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Domicilio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Individuos;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Domicilio;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Individuos;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Domicilio;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Individuos;;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Domicilio;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Individuos;;Horário Termino
12/05/2018  17:00:00 ;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 1º parte;;1;;13;;4,638;1,149;0;0;;5,787;;19,79;14,56;29,51;20,69;;84,55;;0,309;0,153;0;0;;0,462;;0,293;0,159;29,51;20,69;;50,652;;00:01:00;00:02:00;0:00:00;0:00:00;;0:03:00;;0:01:00;0:02:00;0:00:00;0:00:00;;0:03:00;;;4,638;1,149;0;0;;5,787;;19,79;14,56;29,51;20,69;;84,55;;19/02/2018  17:30:00 
12/05/2018  18:00:00 ;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;0;3,536;;;;3,536;;9,162;21,73;;;;30,892;;0;0,707;;;;0,707;;0;0,706;;;;0,706;;00:00:00;00:03:00;;;;0:03:00;;0:00:00;0:03:00;;;;0:03:00;;;0;3,536;;;;3,536;;9,162;21,73;;;;30,892;;19/02/2018  18:00:00 
12/05/2018  18:30:00 ;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;10,85;0;4,552;4,678;;20,08;;3,759;4,749;27,44;20,36;;56,308;;3,7;0;0,91;0,312;;4,922;;3,385;0;27,44;20,36;;51,185;;00:05:07;00:00:00;0:03:00;0:01:00;;0:09:07;;0:04:53;0:00:00;0:03:00;0:01:00;;0:08:53;;;10,85;0;4,552;4,678;;20,08;;3,759;4,749;27,44;20,36;;56,308;;19/02/2018  18:30:00 
12/05/2018  19:30:00 ;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;3,798;8,319;;;;12,117;;24,25;9,137;;;;33,387;;0,253;2,417;;;;2,67;;0,228;2,279;;;;2,507;;00:01:00;00:04:22;;;;0:05:22;;0:01:00;0:04:27;;;;0:05:27;;;3,798;8,319;;;;12,117;;24,25;9,137;;;;33,387;;19/02/2018  19:30:00 
12/05/2018  20:00:00 ;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;13,39;8,077;12,28;16,13;;49,877;;8,52;7,928;13,01;24,87;;54,328;;5,123;1,714;0,819;2,117;;9,773;;5,507;1,333;13,01;24,87;;44,72;;00:05:44;00:03:11;0:01:00;0:01:58;;0:11:53;;0:05:46;0:02:43;0:01:00;0:02:01;;0:11:30;;;13,39;8,077;12,28;16,13;;49,877;;8,52;7,928;13,01;24,87;;54,328;;19/02/2018  20:00:00 
12/05/2018  21:00:00 ;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;10,06;9,512;;;;19,572;;10,49;23,15;;;;33,64;;2,665;2,138;;;;4,803;;2,832;2,042;;;;4,874;;00:03:58;00:03:22;;;;0:07:20;;0:03:49;0:03:24;;;;0:07:13;;;10,06;9,512;;;;19,572;;10,49;23,15;;;;33,64;;19/02/2018  20:30:00 
12/05/2018  21:30:00 ;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;7,597;3,536;;;;11,133;;16,66;18,34;;;;35;;1,067;0,707;;;;1,774;;0,985;0,715;;;;1,7;;00:02:06;00:03:00;;;;0:05:06;;0:02:07;0:03:00;;;;0:05:07;;;7,597;3,536;;;;11,133;;16,66;18,34;;;;35;;19/02/2018  21:00:00 
12/05/2018  22:00:00 ;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;7,9;3,536;;;;11,436;;9,06;4,056;;;;13,116;;0,998;3,064;;;;4,062;;0,974;3,096;;;;4,07;;00:01:54;00:13:00;;;;0:14:54;;0:01:57;0:13:00;;;;0:14:57;;;7,9;3,536;;;;11,436;;9,06;4,056;;;;13,116;;19/02/2018  21:30:00 
12/05/2018  22:30:00 ;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 1º parte;;1;;13;;3,536;3,536;7,902;7,902;;22,876;;4,056;4,056;11,13;8,43;;27,672;;2,829;2,829;3,827;3,646;;13,131;;2,858;2,858;11,13;8,43;;25,276;;00:12:00;00:12:00;0:07:16;0:06:55;;0:38:11;;0:12:00;0:12:00;0:07:12;0:06:52;;0:38:04;;;3,536;3,536;7,902;7,902;;22,876;;4,056;4,056;11,13;8,43;;27,672;;19/02/2018  22:00:00 
12/05/2018  23:30:00 ;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 2;;5;;4;;14,68;3,536;;;;18,216;;9,218;13,45;;;;22,668;;4,556;3,536;;;;8,092;;4,717;3,573;;;;8,29;;00:04:39;00:15:00;;;;0:19:39;;0:04:23;0:15:00;;;;0:19:23;;;14,68;3,536;;;;18,216;;9,218;13,45;;;;22,668;;19/02/2018  23:00:00 
