ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
4068;12/03/2017 17:37;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 49,90;R$ 0,00;R$ 16,78;R$ 66,68
4067;12/03/2017 01:03;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 119,80;R$ 0,00;R$ 21,85;R$ 141,65
4062;10/03/2017 23:34;ENTREGUE;MOIP CC 2x;Desktop;6;R$ 502,61;R$ 0,00;R$ 40,46;R$ 543,07
4060;10/03/2017 19:26;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 152,82;R$ 0,00;R$ 17,19;R$ 170,01
4059;10/03/2017 18:51;ENTREGUE;MOIP CC 4x;Desktop;1;R$ 87,90;R$ 0,00;R$ 21,85;R$ 109,75
4058;10/03/2017 18:38;ENTREGUE;MOIP CC 4x;Desktop;2;R$ 119,80;R$ 0,00;R$ 27,96;R$ 147,76
4057;10/03/2017 17:57;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 157,80;R$ 0,00;R$ 16,78;R$ 174,58
4056;10/03/2017 13:16;ENTREGUE;MOIP CC 1x;Mobile;2;R$ 98,82;R$ 0,00;R$ 27,96;R$ 126,78
4055;10/03/2017 13:02;DESPACHADO;MOIP Boleto;Mobile;1;R$ 79,11;R$ 0,00;R$ 17,19;R$ 96,30
4050;10/03/2017 07:55;ENTREGUE;MOIP CC 4x;Desktop;1;R$ 79,11;R$ 0,00;R$ 17,19;R$ 96,30
4046;09/03/2017 12:54;ENTREGUE;MOIP CC 6x;Desktop;6;R$ 368,85;R$ 0,00;R$ 0,00;R$ 368,85
4045;08/03/2017 22:14;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
4044;08/03/2017 21:01;DESPACHADO;MOIP CC 2x;Desktop;4;R$ 263,63;R$ 0,00;R$ 0,00;R$ 263,63
4043;08/03/2017 20:07;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 71,91;R$ 0,00;R$ 17,19;R$ 89,10
4042;08/03/2017 17:50;ENTREGUE;MOIP CC 2x;Desktop;5;R$ 301,95;R$ 0,00;R$ 0,00;R$ 301,95
4041;08/03/2017 08:37;ENTREGUE;MOIP CC 5x;Desktop;1;R$ 79,90;R$ 0,00;R$ 17,19;R$ 97,09
4040;08/03/2017 07:35;ENTREGUE;MOIP CC 1x;Desktop;3;R$ 137,72;R$ 0,00;R$ 16,78;R$ 154,50
4039;07/03/2017 22:13;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 79,90;R$ 0,00;R$ 11,74;R$ 91,64
4038;07/03/2017 22:01;ENTREGUE;MOIP CC 3x;Desktop;1;R$ 79,90;R$ 0,00;R$ 17,19;R$ 97,09
4037;07/03/2017 21:01;DESPACHADO;MOIP CC 1x;Desktop;2;R$ 127,80;R$ 89,90;R$ 0,00;R$ 37,90
4036;07/03/2017 20:01;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 71,91;R$ 0,00;R$ 17,19;R$ 89,10
4035;07/03/2017 17:30;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 39,90;R$ 0,00;R$ 31,22;R$ 71,12
4034;07/03/2017 15:33;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 62,91;R$ 0,00;R$ 17,19;R$ 80,10
4033;07/03/2017 14:39;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 175,80;R$ 0,00;R$ 18,59;R$ 194,39
4032;07/03/2017 14:21;ENTREGUE;MOIP CC 2x;Desktop;3;R$ 142,71;R$ 0,00;R$ 21,85;R$ 164,56
4031;07/03/2017 13:34;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 150,81;R$ 0,00;R$ 16,78;R$ 167,59
4030;07/03/2017 11:20;ENTREGUE;MOIP Boleto;Desktop;1;R$ 39,90;R$ 0,00;R$ 15,11;R$ 55,01
4029;06/03/2017 19:25;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 79,90;R$ 0,00;R$ 17,19;R$ 97,09
4028;06/03/2017 01:06;ENTREGUE;MOIP CC 3x;Desktop;4;R$ 275,60;R$ 0,00;R$ 27,96;R$ 303,56
4027;05/03/2017 11:04;ENTREGUE;MOIP Boleto;Mobile;2;R$ 79,80;R$ 0,00;R$ 16,78;R$ 96,58
4026;05/03/2017 10:07;ENTREGUE;MOIP Boleto;Mobile;1;R$ 87,90;R$ 0,00;R$ 19,05;R$ 106,95
4025;04/03/2017 22:37;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
4024;04/03/2017 22:01;ENTREGUE;MOIP CC 6x;Mobile;3;R$ 265,70;R$ 0,00;R$ 0,00;R$ 265,70
4023;04/03/2017 15:50;ENTREGUE;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 11,74;R$ 161,54
4021;04/03/2017 11:34;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 87,90;R$ 0,00;R$ 17,19;R$ 105,09
4018;03/03/2017 22:47;ENTREGUE;MOIP CC 4x;Desktop;2;R$ 149,80;R$ 0,00;R$ 17,19;R$ 166,99
4017;03/03/2017 19:59;ENTREGUE;MOIP CC 5x;Mobile;2;R$ 89,80;R$ 0,00;R$ 22,28;R$ 112,08
4016;03/03/2017 10:56;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
4015;03/03/2017 09:02;ENTREGUE;MOIP CC 3x;Desktop;1;R$ 39,90;R$ 0,00;R$ 22,28;R$ 62,18
4014;02/03/2017 15:30;ENTREGUE;MOIP CC 4x;Desktop;1;R$ 69,90;R$ 0,00;R$ 22,28;R$ 92,18
4013;02/03/2017 13:55;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 127,80;R$ 0,00;R$ 31,22;R$ 159,02
4012;02/03/2017 11:18;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 157,80;R$ 0,00;R$ 15,56;R$ 173,36
4011;01/03/2017 23:57;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 69,90;R$ 0,00;R$ 16,78;R$ 86,68
4010;01/03/2017 14:35;ENTREGUE;MOIP Boleto;Desktop;2;R$ 137,80;R$ 0,00;R$ 16,78;R$ 154,58
4009;01/03/2017 13:23;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 167,80;R$ 0,00;R$ 17,19;R$ 184,99
4008;01/03/2017 11:03;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
4007;01/03/2017 10:39;ENTREGUE;MOIP CC 3x;Desktop;3;R$ 239,70;R$ 0,00;R$ 17,19;R$ 256,89
4006;01/03/2017 09:21;ENTREGUE;MOIP CC 3x;Desktop;4;R$ 295,60;R$ 0,00;R$ 0,00;R$ 295,60
4005;28/02/2017 20:36;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 17,19;R$ 97,09
4004;28/02/2017 14:39;ENTREGUE;MOIP Boleto;Mobile;3;R$ 215,70;R$ 0,00;R$ 15,56;R$ 231,26
4002;27/02/2017 17:58;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 149,80;R$ 0,00;R$ 17,19;R$ 166,99
4000;27/02/2017 09:31;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
3998;26/02/2017 23:57;ENTREGUE;MOIP Boleto;Mobile;2;R$ 149,80;R$ 0,00;R$ 31,67;R$ 181,47
3997;26/02/2017 19:42;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 15,56;R$ 85,46
3995;26/02/2017 10:37;ENTREGUE;MOIP Boleto;Desktop;3;R$ 239,70;R$ 0,00;R$ 17,19;R$ 256,89
3993;25/02/2017 18:48;ENTREGUE;MOIP Boleto;Mobile;1;R$ 39,90;R$ 0,00;R$ 17,19;R$ 57,09
3992;25/02/2017 16:37;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 159,80;R$ 0,00;R$ 16,78;R$ 176,58
3991;25/02/2017 11:08;ENTREGUE;MOIP CC 4x;Mobile;1;R$ 69,90;R$ 0,00;R$ 11,74;R$ 81,64
3988;23/02/2017 14:05;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 49,90;R$ 0,00;R$ 17,19;R$ 67,09
3987;23/02/2017 09:24;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 49,90;R$ 0,00;R$ 26,61;R$ 76,51
3986;23/02/2017 06:56;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 39,90;R$ 0,00;R$ 16,78;R$ 56,68
3984;22/02/2017 16:01;ENTREGUE;MOIP Boleto;Desktop;2;R$ 127,80;R$ 0,00;R$ 19,05;R$ 146,85
3983;21/02/2017 23:50;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 69,90;R$ 0,00;R$ 0,00
3982;21/02/2017 22:57;ENTREGUE;MOIP Boleto;Desktop;1;R$ 89,90;R$ 0,00;R$ 18,59;R$ 108,49
3981;21/02/2017 21:15;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 49,90;R$ 0,00;R$ 17,19;R$ 67,09
3980;21/02/2017 21:11;ENTREGUE;MOIP CC 3x;Mobile;2;R$ 79,80;R$ 0,00;R$ 22,28;R$ 102,08
3979;21/02/2017 20:32;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 87,90;R$ 0,00;R$ 11,74;R$ 99,64
3976;21/02/2017 15:29;ENTREGUE;MOIP Boleto;Desktop;1;R$ 49,90;R$ 0,00;R$ 15,56;R$ 65,46
3975;21/02/2017 09:16;ENTREGUE;MOIP Boleto;Desktop;3;R$ 259,70;R$ 0,00;R$ 6,11;R$ 265,81
3974;20/02/2017 22:10;ENTREGUE;MOIP CC 3x;Desktop;1;R$ 79,90;R$ 0,00;R$ 31,22;R$ 111,12
